,City,Temperature,Humidity,Cloudiness,Wind Speed (mph),Latitude,Longitude,Country,Datetime
87,anadyr,1.85,95,100,11.86,64.75,177.48,RU,1579990943
88,bluff,63.43,56,66,1.54,-46.6,168.33,NZ,1579990944
89,yei,76.59,29,100,1.79,4.09,30.68,SS,1579990944
90,arraial do cabo,75.97,85,0,11.48,-22.97,-42.03,BR,1579990944
91,puerto ayora,77.0,44,96,1.99,-0.74,-90.35,EC,1579990702
92,coos bay,55.4,97,99,0.87,43.37,-124.22,US,1579990944
93,jamestown,35.17,94,100,4.0,42.1,-79.24,US,1579990944
94,saint-georges,79.39,77,100,10.65,12.06,-61.75,GD,1579990811
95,piranshahr,13.95,63,0,2.66,36.7,45.14,IR,1579990945
96,cayenne,78.08,87,62,6.93,4.93,-52.33,GF,1579990678
97,namibe,75.16,78,0,12.1,-15.2,12.15,AO,1579990945
98,kermanshah,26.6,76,0,3.29,34.31,47.06,IR,1579990945
99,khatanga,-23.35,90,70,3.02,71.97,102.5,RU,1579990945
100,jardim,86.9,43,0,6.31,-21.48,-56.14,BR,1579990815
101,naze,69.26,85,100,7.61,28.37,129.48,JP,1579990946
102,hualmay,77.22,62,88,5.84,-11.1,-77.61,PE,1579990946
103,alice springs,71.15,49,0,7.87,-23.7,133.88,AU,1579990946
104,hermanus,64.22,77,29,8.01,-34.42,19.23,ZA,1579990946
105,tual,83.75,68,89,4.25,-5.67,132.75,ID,1579990619
106,ponta do sol,51.96,77,32,5.99,32.67,-17.1,PT,1579990946
107,marsa matruh,58.39,56,0,2.98,31.35,27.25,EG,1579990946
108,tasiilaq,26.6,73,100,12.75,65.61,-37.64,GL,1579990947
109,harer,59.99,96,100,7.83,9.31,42.13,ET,1579990947
110,plettenberg bay,68.97,91,0,8.93,-34.05,23.37,ZA,1579990611
111,aksu,22.39,73,26,1.19,41.12,80.26,CN,1579990947
112,zhanaozen,32.32,80,100,10.02,43.3,52.8,KZ,1579990947
113,lebyazhye,14.88,93,100,13.94,55.27,66.49,RU,1579990947
114,mukdahan,70.18,69,100,3.42,16.58,104.5,TH,1579990948
115,pahrump,65.32,28,100,1.99,36.21,-115.98,US,1579990948
116,mogadishu,81.32,84,100,23.24,2.04,45.34,SO,1579990731
117,yar-sale,-1.37,97,94,5.44,66.83,70.83,RU,1579990948
118,mar del plata,70.41,65,0,15.99,-38.0,-57.56,AR,1579990948
119,vysokogornyy,-22.36,99,97,2.73,50.12,139.15,RU,1579990948
120,kabo,70.7,13,91,4.9,7.7,18.63,CF,1579990948
121,burnie,61.0,99,97,8.99,-41.07,145.92,AU,1579990649
122,yerbogachen,21.65,94,100,11.99,61.28,108.01,RU,1579990949
123,severo-kurilsk,17.74,91,100,42.77,50.68,156.12,RU,1579990949
124,bogorodskoye,26.55,85,100,14.34,56.55,37.88,RU,1579990949
125,cidreira,76.32,66,67,9.4,-30.18,-50.21,BR,1579990949
126,kutum,47.41,28,0,7.58,14.2,24.67,SD,1579990949
127,brownfield,67.12,21,0,13.0,33.18,-102.27,US,1579990781
128,vaini,78.4,86,46,21.07,-21.2,-175.2,TO,1579990950
129,tiksi,-26.79,70,0,6.35,71.69,128.87,RU,1579990950
130,iqaluit,-27.0,60,13,8.99,63.75,-68.51,CA,1579990950
131,ahuimanu,78.66,68,12,8.97,21.44,-157.84,US,1579990950
132,vitoria do mearim,81.82,83,100,4.99,-3.46,-44.87,BR,1579990950
133,la rioja,39.0,95,100,1.01,42.25,-2.5,ES,1579990727
134,jasidih,53.96,68,0,4.21,24.52,86.65,IN,1579990951
135,camacha,45.0,95,24,6.11,33.08,-16.33,PT,1579990951
136,udachnyy,-23.08,96,79,9.78,66.42,112.4,RU,1579990951
137,cianorte,86.0,45,0,4.7,-23.66,-52.6,BR,1579990951
